Name,Mstar,M_K,SHMMhalo,SHMRvir,SHMVesc,SAGAMhalo,Nsat,N_HI,N_HI_massive,N_HI_dim
UGC00903,10.260296,-23.53506177,11.826886665396303,184.7543144959955,176.78343994697542,11.93114145,4,4,4,4
NGC1015,10.331776,-23.49566743,11.882027018882834,192.7412658454925,184.42580942616732,11.93814145,2,2,2,2
NGC1309,10.275148,-23.57391359,11.83806013415054,186.34557256024536,178.30604619954846,11.85314145,3,2,2,1
PGC013646,10.249901,-23.14150541,11.81914815089704,183.66021325740653,175.73654163157937,12.06014145,3,3,3,2
ESO121-026,10.572992,-23.71056405,12.102626577651385,228.30104173806018,218.45142621991147,12.20914145,2,2,2,1
NGC2543,10.5091305,-23.45507618,12.037669566052367,217.19786702474386,207.82727692463274,11.82714145,2,2,2,0
UGC04906,10.355138,-23.36303397,11.900854986521841,195.54679223158516,187.11029669645623,11.95414145,6,6,6,3
NGC2962,10.724018,-24.04656258,12.283374359572026,262.27515588173986,250.95979163403052,12.37614145,4,4,4,2
NGC2967,10.350918,-23.51335481,11.897422035907837,195.03222674543804,186.61793116243757,12.02014145,1,2,1,2
NGC3689,10.447154,-23.79795999,11.979642707826692,207.7367198741561,198.77431302666827,12.24414145,2,0,0,0
NGC3976,10.595388,-24.0016188,12.126837433174911,232.58311264410324,222.54875529681144,12.14414145,2,1,1,1
NGC4158,10.194571,-23.04296601,11.77901173314901,178.08866500421254,170.40536726243332,11.80114145,5,5,5,4
NGC4348,10.296854,-23.45611891,11.854648701934325,188.73332940744862,180.59078780548631,11.98214145,0,0,0,0
NGC4454,10.665272,-23.6865856,12.207899159800359,247.51342162682786,236.8349244108458,11.95814145,4,4,4,3
NGC5297,10.513424,-23.849616,12.041861615251513,217.89783024931324,208.4970415632195,12.03314145,7,4,4,2
NGC5347,10.39837,-23.04221031,11.936891595571796,201.0309380457048,192.3578394390204,11.95014145,2,2,2,2
NGC5448,10.6520195,-23.82442346,12.191839881814344,244.48130845815743,233.9336260150365,12.06914145,5,5,5,2
NGC5602,10.306295,-23.05491014,11.861963888707782,189.7959744552288,181.60758704777558,11.95814145,5,4,4,3
NGC5604,10.204961,-23.24993496,11.786420060641676,179.1041796499307,171.37706945448406,11.82914145,3,3,3,3
NGC5633,10.145284,-23.09049971,11.744606109685348,173.4473772749324,165.96431909095145,11.92914145,0,0,0,0
NGC5690,10.280895,-23.13945555,11.842421770528327,186.97044318831308,178.9039579693114,11.75914145,3,2,2,2
NGC5750,10.400753,-23.57306898,11.938926195175076,201.34511580114847,192.6584625909813,11.90214145,1,1,1,0
NGC5792,10.913861,-24.54855254,12.5817622334345,329.77655620826926,315.5489720464879,12.24714145,3,3,3,1
NGC5869,10.516325,-23.65783734,12.04470767765045,218.3743338507278,208.95298732034556,11.94014145,0,0,0,0
NGC5962,10.4681,-23.69991484,11.998756428663116,210.80674872771922,201.71189130704514,12.01514145,2,2,2,0
NGC6181,10.407503,-23.96802633,11.944718199807008,202.2421936340116,193.51683770187563,12.16314145,9,9,8,7
NGC6278,10.621487,-23.97793709,12.15609152468634,237.86445149537357,227.60224079835524,12.30314145,9,9,9,5
NGC6909,10.494591,-23.51969921,12.02364689851278,214.87274573676802,205.60246858549536,12.02114145,4,2,2,1
NGC7029,10.759478,-24.35257325,12.332571956152526,272.3681698820374,260.61736168468417,12.53514145,5,3,3,3
NGC7079,10.733475,-24.21983896,12.296216113050944,264.87302918274236,253.44558461781264,12.22514145,4,3,3,1
ESO288-025,10.205088,-23.11767795,11.786510968018495,179.11667689919895,171.3890275336312,11.89014145,2,2,2,2
NGC7166,10.664032,-24.08366834,12.206382233753734,247.22541346196928,236.5593418121097,11.95314145,6,6,6,4
PGC068743,10.445013,-23.80718798,11.977715817874563,207.42971624653234,198.48055448838684,12.08314145,5,4,4,1
NGC7328,10.257858,-23.31640038,11.825065745158785,184.496280757682,176.53653858499158,11.91214145,1,0,0,0
NGC7541,10.666763,-24.56754332,12.209727374741899,247.8609779386846,237.16748606469906,12.49614145,5,5,4,1
NGC7716,10.45102,-23.38270048,11.983134401895915,208.29419560828384,199.30773752738918,11.97914145,2,2,2,0
